id_autore,agent_type,score
9776,voters,0.23289799002131403
22206,voters,0.340966711367657
77630,voters,0.7186301494662802
31158,voters,0.5485403681356869
91675,voters,0.8439270609973707
26003,voters,0.4888342540385335
90526,voters,0.8565957822759191
35432,voters,0.5245104898400831
10739,voters,0.2166799117164532
65359,voters,0.6482845254696826
44688,voters,0.5369446599676061
84983,voters,0.7132965221477433
83835,voters,0.737659609997515
26618,voters,0.5314344165520637
60714,voters,0.5568757971014222
3531,voters,0.13792023243969298
26200,voters,0.46685887830993017
95851,voters,0.8996459720217345
25664,voters,0.45914733347977565
27125,voters,0.4618889652686624
54509,voters,0.5563612422363995
57756,voters,0.6133507119901288
58662,voters,0.6894308269911471
215,voters,0.07379404969721298
88887,voters,0.7121859696671481
72502,voters,0.5657263124752218
59123,voters,0.5730008979803268
68974,voters,0.6974618737020876
96596,left_bots,0.8223428974597712
45755,voters,0.4925815359949043
72784,voters,0.6312595630150604
43214,voters,0.4737272945055849
1946,voters,0.15311399627275593
21526,voters,0.4116471314057773
76899,voters,0.7179550006927576
10408,voters,0.25900605010994365
51570,voters,0.63202720792843
46196,voters,0.5785051597076167
70738,voters,0.5530538489112902
24371,voters,0.5398374701815599
76204,voters,0.797515017454569
8684,voters,0.26649457505077423
21771,voters,0.42265998497547647
61405,voters,0.6254994842443377
65969,voters,0.6467017916061791
93275,voters,0.8847169986727376
76030,voters,0.7657630142637591
17969,voters,0.42632938924527086
27606,voters,0.4880497976115993
3178,voters,0.10363370002036393
37822,voters,0.5346594154046247
42411,voters,0.48355471383866994
33930,voters,0.49867604157678824
97257,right_bots,0.018983875619329373
10513,voters,0.2831817106909097
36059,voters,0.5070607355892288
5864,voters,0.1271079393195645
26067,voters,0.5245072748103308
66177,voters,0.6466872038997331
37576,voters,0.4809615874577292
10356,voters,0.2666486569468307
18964,voters,0.3960693422660617
67490,voters,0.600760103585674
52225,voters,0.6818789893180204
22399,voters,0.30994969816429435
45766,voters,0.5246461178221818
68682,voters,0.6126784337864684
37549,voters,0.4522631039368524
79325,voters,0.7873865483197939
45033,voters,0.5230872911441573
64384,voters,0.6220081354463107
46185,voters,0.6362446601605375
98445,right_bots,0.040164455310738645
20669,voters,0.3450355906759047
2266,voters,0.09552717613472747
20295,voters,0.44109259476703855
6913,voters,0.10751429904216121
48135,voters,0.6792854399377694
8974,voters,0.2848928925480559
18932,voters,0.4482415544530506
26480,voters,0.49345801795806055
91962,voters,0.8158503268225347
18325,voters,0.39329991644417034
24584,voters,0.45474611638491824
11983,voters,0.2804171502810228
38827,voters,0.5487114802984568
7757,voters,0.23006073349942596
41958,voters,0.4748951885036988
39720,voters,0.5280742653017475
15264,voters,0.22640808437085774
99584,right_bots,0.07364084929160013
38452,voters,0.5350935925100124
83781,voters,0.7598365990931675
97820,right_bots,0.09063293923776197
99967,right_bots,0.07953114959515833
58989,voters,0.5814172199231379
28358,voters,0.46487146628510495
72584,voters,0.6932451866359431
53479,voters,0.5569464429238951
18261,voters,0.36890633212148866
45964,voters,0.5386383711378723
12349,voters,0.2989900383672652
11004,voters,0.28987713297995343
68996,voters,0.6902397208192523
54645,voters,0.6110114746431828
24889,voters,0.5227765054146598
85212,voters,0.7654669602013492
35389,voters,0.530884691271583
12869,voters,0.28854011482374287
36024,voters,0.4863360292695283
29323,voters,0.4644848413043587
60229,voters,0.5752815380057565
92511,voters,0.8811678945218149
21913,voters,0.4073106046364225
44289,voters,0.48171700962336395
69414,voters,0.6476478735831969
83299,voters,0.7013087721166698
77320,voters,0.7256870421425865
82111,voters,0.7978272539781703
81280,voters,0.730531139689333
38704,voters,0.5281274539237102
23413,voters,0.45410009238211974
14497,voters,0.23296398989007427
79592,voters,0.7364142068381715
15724,voters,0.2629727443996459
87683,voters,0.7827239352470946
75579,voters,0.7023915058681376
79524,voters,0.748498337261848
97680,right_bots,0.005835827540797723
44698,voters,0.5264908583458969
10158,voters,0.25824605876756535
30289,voters,0.45866033854251975
57500,voters,0.6105589568113226
13291,voters,0.23755396908147655
64330,voters,0.593216534887895
94614,voters,0.8029461360259676
85482,voters,0.728039201522349
36230,voters,0.5274290900190682
29728,voters,0.49096343192188746
74570,voters,0.6392221331804154
88128,voters,0.7806580729845557
92313,voters,0.8153446507312124
78240,voters,0.7707300677938383
60066,voters,0.6721387388603034
57722,voters,0.6503559230720674
89211,voters,0.7869690992933566
77842,voters,0.7953975453210972
13875,voters,0.21216394501775082
90839,voters,0.8717029750231123
54235,voters,0.5607272520750938
30605,voters,0.4778989546929505
21254,voters,0.36218848175092033
49360,voters,0.6241081891738884
68833,voters,0.6678169393170768
18480,voters,0.3273111675621492
46413,voters,0.6263617597005687
75961,voters,0.7201308012303378
9294,voters,0.27232200156870195
67019,voters,0.698210491319913
1420,voters,0.17897868896337962
86270,voters,0.7880430865075068
17594,voters,0.4218447458789971
99907,right_bots,0.008847181419099893
99586,right_bots,0.06200599892927575
66295,voters,0.6020549612695045
27010,voters,0.5277637239338898
84402,voters,0.7159010152145323
99537,right_bots,0.0012352343063806615
93381,voters,0.8323155045226371
9967,voters,0.21037677692531356
8411,voters,0.2674126610313946
72588,voters,0.5876419085890048
69765,voters,0.6625515818812275
85150,voters,0.7102981955682548
52421,voters,0.604058298127372
13939,voters,0.21274154849654164
62145,voters,0.5647861878362379
52348,voters,0.5775707547334449
88978,voters,0.7822233288109932
37326,voters,0.46775250975708044
87603,voters,0.7833641114244548
634,voters,0.008088409704337052
4368,voters,0.18059487395239393
37586,voters,0.5483729283811859
59006,voters,0.693451294827844
16439,voters,0.20243382423651693
61045,voters,0.643023049183779
1027,voters,0.15420810246062522
54536,voters,0.6266286648812837
77631,voters,0.7835098409880394
81691,voters,0.7235593280222885
22631,voters,0.3356863525047365
85927,voters,0.7305791498767275
18540,voters,0.3700135091826938
61365,voters,0.6775241785846786
65236,voters,0.6294828600693172
21431,voters,0.40890104474536937
30867,voters,0.5268880857453178
56740,voters,0.5948194675768228
60557,voters,0.6383986662958853
89124,voters,0.7848723908478887
77466,voters,0.7211076174095561
74561,voters,0.6746159496472588
77859,voters,0.7735864392305115
6906,voters,0.13173701781064917
64378,voters,0.6793646398868579
78013,voters,0.7893122656105056
14546,voters,0.2935065608333398
30731,voters,0.49210416957737946
8217,voters,0.2953680293196322
20627,voters,0.3255278715399321
2314,voters,0.1911952742799662
9743,voters,0.20486062733976101
56454,voters,0.6996838620895746
37750,voters,0.4949620572185363
76878,voters,0.7800707973605643
23382,voters,0.5498014838279379
934,voters,0.03565568377419802
76751,voters,0.7228323964677089
18026,voters,0.3225293976947137
19510,voters,0.3118376902539686
69479,voters,0.6460942655686214
96684,left_bots,0.8313507676851144
65003,voters,0.6823637545670266
69030,voters,0.5953836747745946
97663,right_bots,0.09421083024239178
34346,voters,0.45998753272106446
79153,voters,0.7203740055116968
8082,voters,0.2618774933199999
40957,voters,0.5418581005041809
91187,voters,0.8799263795580213
60790,voters,0.626641171638252
99804,right_bots,0.09227534643817359
35033,voters,0.5269563108355141
92847,voters,0.8023811799682046
85618,voters,0.705505820569864
81951,voters,0.7309059541250619
61542,voters,0.5845031614835312
77201,voters,0.7718968013792733
27172,voters,0.4594448927111423
60500,voters,0.6274522901709764
41276,voters,0.5175728005083917
93170,voters,0.8915021089490336
87500,voters,0.7556428399400744
12235,voters,0.2066697133253972
71250,voters,0.6357274342347254
32957,voters,0.5382773975939832
64366,voters,0.6879514421449062
86832,voters,0.7830757474198289
55826,voters,0.5971576760357938
59811,voters,0.6337774913230219
62982,voters,0.592773373331384
27041,voters,0.5086617010831825
28793,voters,0.5161677753999006
92342,voters,0.8582172377626025
51817,voters,0.5515761040557918
65115,voters,0.680014267526683
58427,voters,0.5926219001043219
99843,right_bots,0.042152424788189306
83140,voters,0.7300641211343566
80765,voters,0.7083383328082691
67595,voters,0.688904820938566
27866,voters,0.535240381469438
61579,voters,0.6477270604473779
51253,voters,0.6164166986569845
1309,voters,0.14571808877182674
68074,voters,0.6944751770843423
42415,voters,0.48286733271789584
79042,voters,0.7567930199873678
37276,voters,0.4974426744584918
12214,voters,0.21264949797533336
54585,voters,0.6803399379487236
71938,voters,0.6282037298855547
24329,voters,0.49047889657711174
11865,voters,0.2578101759112838
99680,right_bots,0.0756097589073345
76307,voters,0.7925394664577975
46916,voters,0.6807384944209516
2655,voters,0.12240615158446197
27650,voters,0.45298871197002527
