id_autore,agent_type,score
18495,voters,0.3380873576017559
51051,voters,0.6285620880847114
19626,voters,0.3446324541469274
5108,voters,0.135075089296557
29654,voters,0.5411261780774963
56697,voters,0.5611353437977264
98165,right_bots,0.04688062702777976
16600,voters,0.21214374501501831
71139,voters,0.5858118216137942
98099,right_bots,0.014471613805986406
26148,voters,0.512580753334169
19148,voters,0.3673106145093923
85360,voters,0.7372077032158657
73830,voters,0.6369384928544657
69302,voters,0.642899113771746
62796,voters,0.6710940870340456
50764,voters,0.6691573662047141
28730,voters,0.5477143424537954
43944,voters,0.4598140847148383
54025,voters,0.6143099163618698
959,voters,0.026548526789521378
1330,voters,0.10793038208267121
61754,voters,0.6453968405901244
7167,voters,0.18282715912300673
37866,voters,0.5481690319346224
88155,voters,0.7148688306225386
66910,voters,0.6011514911571175
51731,voters,0.6166458111262145
98568,right_bots,0.08056707871676229
86570,voters,0.7546815650448697
20849,voters,0.33611278822796414
14345,voters,0.2056202964848316
14369,voters,0.27506115617058663
64865,voters,0.6230045075410917
28376,voters,0.5259685107873113
60843,voters,0.5785266828933229
41551,voters,0.5295750267643101
58122,voters,0.5685887991058628
50867,voters,0.6595915969211759
83473,voters,0.732917361021063
44866,voters,0.543170021924377
38955,voters,0.4773821515144778
22638,voters,0.38656644739361484
39582,voters,0.4924183138230527
60334,voters,0.5852933319243827
81605,voters,0.7173284318649149
98138,right_bots,0.02855799658072722
39792,voters,0.4689949305224746
83929,voters,0.7398538541458258
27750,voters,0.45786117845078295
60204,voters,0.6588858892914989
89002,voters,0.7855483635357875
53871,voters,0.6937890084882347
95922,voters,0.8340418964002786
44880,voters,0.4698173984441794
8198,voters,0.20870868564894038
48715,voters,0.6065692743767396
36071,voters,0.542911139803441
86131,voters,0.7810255058326567
83675,voters,0.7300623899094882
62068,voters,0.6735878304765375
5759,voters,0.1237937216522047
22378,voters,0.3732474403111025
91399,voters,0.8208145685062483
47129,voters,0.6451045942065814
67445,voters,0.6274587608996739
26889,voters,0.5167166380937762
59146,voters,0.5673232645159803
49006,voters,0.5690539948698962
92766,voters,0.8155377946186373
3954,voters,0.1909396173244131
8678,voters,0.2475354780573421
37267,voters,0.47735947115810523
85525,voters,0.7102060133960494
8482,voters,0.2251423716543104
61680,voters,0.6859566273021368
4961,voters,0.1881329681790995
57274,voters,0.6278505589420498
79292,voters,0.7043249987365964
62521,voters,0.6338459309142543
2962,voters,0.1626752864254214
31681,voters,0.452409459462719
84624,voters,0.7616407338932446
66150,voters,0.5533459255144185
5002,voters,0.19613556602742135
22822,voters,0.42070571333732687
94828,voters,0.8426503132983953
66623,voters,0.6950554663470608
36174,voters,0.4689079628136321
8714,voters,0.2425680037854319
17032,voters,0.26268421441243617
85159,voters,0.7517520977831315
27589,voters,0.5363552274035029
74926,voters,0.7629143113120895
67072,voters,0.6003154871201658
94417,voters,0.8896689074610309
81405,voters,0.785767771516961
45490,voters,0.5339806422271722
85693,voters,0.7701577290535675
18048,voters,0.3133300500956442
41941,voters,0.4512018305169678
96276,left_bots,0.8424805090872688
21034,voters,0.3609353426991382
1755,voters,0.10722714365913558
52004,voters,0.6614978801112931
43458,voters,0.5052332845268255
90511,voters,0.8492976755946455
16246,voters,0.20421054661280982
31,voters,0.05469682615580641
74665,voters,0.5840904861152948
22486,voters,0.3726608127050679
58611,voters,0.6444155059291242
45012,voters,0.5153898974344976
45635,voters,0.5131545415962726
75460,voters,0.752417566448614
14301,voters,0.25282793516665236
